admin_dong_code,sigungu_name,admin_dong_name,major_category,major_category_label,major_category_weight,category,category_label,category_score_0_100,triggered_indicator_count,triggered_indicators,policy_review_status,category_confidence
21110710,금정구,금성동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,35.121951,0,,monitor,low
21060630,동래구,명장1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,34.634146,0,,monitor,medium_low
21070530,남구,대연3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,34.146341,0,,monitor,medium_low
21070620,남구,감만1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,33.658537,0,,monitor,medium_low
21090730,해운대구,우1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,33.170732,0,,monitor,medium_low
21090590,해운대구,반여3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,32.682927,0,,monitor,medium_low
21140510,수영구,남천1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,32.195122,0,,monitor,medium_low
21080630,북구,화명3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,31.707317,0,,monitor,medium_low
21090580,해운대구,반여2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,31.219512,0,,monitor,medium_low
21040590,영도구,봉래1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,30.731707,0,,monitor,medium_low
21090700,해운대구,반여1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,30.243902,0,,monitor,medium_low
21140520,수영구,남천2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,29.756098,0,,monitor,medium_low
21110720,금정구,서3동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,29.268293,0,,monitor,medium_low
21020650,서구,남부민1동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,28.780488,0,,monitor,medium_low
21110580,금정구,부곡2동,environment_climate_response,환경·기후 대응,0.5,air_exposure,대기오염 노출,28.292683,0,,monitor,medium_low
