admin_dong_code,sigungu_name,admin_dong_name,category,category_label,major_category,major_category_label,major_category_weight,indicator,indicator_label,raw_or_derived_value,deprivation_percentile_0_100,within_category_weight,weighted_score,evidence_type,value_status_ko,estimate_used,estimation_method_ko,estimation_reason,confidence_level,quality_note,indicator_policy_triggered
21040670,영도구,동삼3동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,335.235551,99.02439,1.0,99.02439,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040680,영도구,신선동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,263.741339,97.073171,1.0,97.073171,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,True
21040690,영도구,봉래2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,100.028827,61.95122,1.0,61.95122,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050520,부산진구,부전2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,82.695128,49.268293,1.0,49.268293,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050540,부산진구,연지동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,43.370459,15.121951,1.0,15.121951,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050550,부산진구,초읍동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,69.801034,38.536585,1.0,38.536585,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050560,부산진구,양정1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,57.443753,27.317073,1.0,27.317073,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050570,부산진구,양정2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,70.703125,39.02439,1.0,39.02439,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050610,부산진구,전포2동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,77.360388,43.902439,1.0,43.902439,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
21050640,부산진구,부암1동,income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,52.534562,22.439024,1.0,22.439024,inferred,추정값,True,구·군 총계의 행정동 배분 추정,공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함,low,구·군 관측 총계를 행정동 패턴으로 배분한 추정값,False
